,states,year,quarter,district,registered_user_counts
0,andaman-&-nicobar-islands,2018,1,north and middle andaman district,632
1,andaman-&-nicobar-islands,2018,1,south andaman district,5846
2,andaman-&-nicobar-islands,2018,1,nicobars district,262
3,andaman-&-nicobar-islands,2018,2,north and middle andaman district,911
4,andaman-&-nicobar-islands,2018,2,south andaman district,8143
5,andaman-&-nicobar-islands,2018,2,nicobars district,351
6,andaman-&-nicobar-islands,2018,3,north and middle andaman district,1208
7,andaman-&-nicobar-islands,2018,3,south andaman district,10474
8,andaman-&-nicobar-islands,2018,3,nicobars district,467
9,andaman-&-nicobar-islands,2018,4,north and middle andaman district,1553
10,andaman-&-nicobar-islands,2018,4,south andaman district,13133
11,andaman-&-nicobar-islands,2018,4,nicobars district,536
12,andaman-&-nicobar-islands,2019,1,north and middle andaman district,2013
13,andaman-&-nicobar-islands,2019,1,south andaman district,15961
14,andaman-&-nicobar-islands,2019,1,nicobars district,622
15,andaman-&-nicobar-islands,2019,2,north and middle andaman district,2417
16,andaman-&-nicobar-islands,2019,2,south andaman district,18621
17,andaman-&-nicobar-islands,2019,2,nicobars district,693
18,andaman-&-nicobar-islands,2019,3,north and middle andaman district,2662
19,andaman-&-nicobar-islands,2019,3,south andaman district,20518
20,andaman-&-nicobar-islands,2019,3,nicobars district,751
21,andaman-&-nicobar-islands,2019,4,north and middle andaman district,2955
22,andaman-&-nicobar-islands,2019,4,south andaman district,22202
23,andaman-&-nicobar-islands,2019,4,nicobars district,803
24,andaman-&-nicobar-islands,2020,1,north and middle andaman district,3315
25,andaman-&-nicobar-islands,2020,1,south andaman district,24174
26,andaman-&-nicobar-islands,2020,1,nicobars district,879
27,andaman-&-nicobar-islands,2020,2,north and middle andaman district,4100
28,andaman-&-nicobar-islands,2020,2,south andaman district,27626
29,andaman-&-nicobar-islands,2020,2,nicobars district,984
30,andaman-&-nicobar-islands,2020,3,north and middle andaman district,5355
31,andaman-&-nicobar-islands,2020,3,south andaman district,34833
32,andaman-&-nicobar-islands,2020,3,nicobars district,1147
33,andaman-&-nicobar-islands,2020,4,north and middle andaman district,7076
34,andaman-&-nicobar-islands,2020,4,south andaman district,43908
35,andaman-&-nicobar-islands,2020,4,nicobars district,1412
36,andaman-&-nicobar-islands,2021,1,north and middle andaman district,7833
37,andaman-&-nicobar-islands,2021,1,south andaman district,48352
38,andaman-&-nicobar-islands,2021,1,nicobars district,1573
39,andaman-&-nicobar-islands,2021,2,north and middle andaman district,8493
40,andaman-&-nicobar-islands,2021,2,south andaman district,51903
41,andaman-&-nicobar-islands,2021,2,nicobars district,1699
42,andaman-&-nicobar-islands,2021,3,north and middle andaman district,9263
43,andaman-&-nicobar-islands,2021,3,south andaman district,55873
44,andaman-&-nicobar-islands,2021,3,nicobars district,1846
45,andaman-&-nicobar-islands,2021,4,north and middle andaman district,10002
46,andaman-&-nicobar-islands,2021,4,south andaman district,59807
47,andaman-&-nicobar-islands,2021,4,nicobars district,1971
48,andaman-&-nicobar-islands,2022,1,north and middle andaman district,10720
